developer,district,unit_type,area_m2,price_qar,status,captured_at,project,sub_area,completion_year,payment_plan_summary,source_url,captured_by,last_verified_at,notes_ar,value_per_m2
Aryan,لوسيل 69,1BR,86,1150000,under_construction,2026-05-25,City Avenues,Al-Erkyah City,2027,أقساط حتى 7 سنوات,,anas,2026-05-25,بالقرب من المول التجاري,
Aryan,لوسيل 69,2BR,128,1700000,under_construction,2026-05-25,City Avenues,Al-Erkyah City,2027,أقساط حتى 7 سنوات,,anas,2026-05-25,,
Aryan,لوسيل 69,2BR,134,1800000,under_construction,2026-05-25,City Avenues,Al-Erkyah City,2027,أقساط حتى 7 سنوات,,anas,2026-05-25,مع غرفة خادمة,
Aryan,لوسيل 69,3BR,168,2250000,under_construction,2026-05-25,City Avenues,Al-Erkyah City,2027,أقساط حتى 7 سنوات,,anas,2026-05-25,مع غرفة خادمة — مساحة مقدرة من اتساق سعر المتر بالمشروع — متبقية شقة واحدة فقط,
